A
t S I R
85.7 101.078 149.147 293.116
85.8 101.078 149.188 293.199
85.9 101.077 149.23 293.282
86 101.077 149.271 293.365
86.1 101.077 149.312 293.448
86.2 101.077 149.354 293.531
86.3 101.076 149.395 293.613
86.4 101.076 149.436 293.696
86.5 101.076 149.477 293.779
86.6 101.075 149.519 293.861
86.7 101.075 149.56 293.944
86.8 101.075 149.601 294.026
86.9 101.075 149.642 294.108
87 101.074 149.683 294.191
87.1 101.074 149.724 294.273
87.2 101.074 149.765 294.355
87.3 101.074 149.806 294.437
87.4 101.073 149.847 294.52
87.5 101.073 149.888 294.602
87.6 101.073 149.929 294.684
87.7 101.073 149.97 294.766
87.8 101.072 150.011 294.847
87.9 101.072 150.052 294.929
88 101.072 150.093 295.011
